\nHead of the republic: \n,\nHead of the republic: \n,\n国家元首: \n
\nMain religion: \n,\nMain religion: \n,\n主流宗教: \n
\nRuling party: \n,\nRuling party: \n,\n执政党: \n
\nSuccess! Accident did not happen!,\nSuccess! Accident did not happen!,\n成功！不会再有事故了！
\nYou can do better! Try again.,\nYou can do better! Try again.,\n你可以做得更好！ 再试一次。
\nGovernment control:\n100%,\nGovernment control:\n100%,\n政府控制:\n100%
\nPresident: \n,\nPresident: \n,\n总统: \n
\nCommunistic party won!They decided to cooperate with us.,\nCommunistic party won!They decided to cooperate with us.,
\nmubarak's supporters won!He became a grey cardinal of Egypt.,\nmubarak's supporters won!He became a grey cardinal of Egypt.,
\nMuslim Brotherhood wonn They decided to cooperate with the West!,\nMuslim Brotherhood wonn They decided to cooperate with the West!,
"\n\nWe built the full-freedom society, and even saved USSR!","\n\nWe built the full-freedom society, and even saved USSR!",
\n\nYOU WIN!,\n\nYOU WIN!,
"\n\nIt's a great achievement, but this scenario was ended in 1995. Try it faster!","\n\nIt's a great achievement, but this scenario was ended in 1995. Try it faster!",
"\nand think that your place\nshould be taken by another ruler.\nThey are preparing a coup,\ntogether with your Tribunal.","\nand think that your place\nshould be taken by another ruler.\nThey are preparing a coup,\ntogether with your Tribunal.",
